idx,status,r_LE_sup,r_LE_inf,delta_y,t_01,t_05,t_max,x_tmax,t_min,c_max,x_cmax,camber_085,dcamber_te,clmax,alpha_clmax,situacao,confiavel,n_pontos,n_buracos,alpha_max_conv,incl_linear,incl_fim,razao_incl,tentativas,passo_final,Au0,Au1,Au2,Au3,Al0,Al1,Al2,Al3
20,ok,0.080285,0.0489674,7.44797,0.0701177,0.146078,0.229149,0.276511,0.0215431,0.0235775,0.336185,0.00208603,-0.00202765,1.2978,15.5,queda,1,31,5,17.5,0.053573,-0.00254,-0.047412,1,0.5,0.400712,0.342943,0.323301,0.353915,-0.312945,-0.189242,-0.190432,-0.389977
21,ok,0.0758885,0.0754766,6.87977,0.0760371,0.155481,0.240892,0.321427,0.0186627,-0.0072471,0.674899,-0.00499087,0.0361808,1.5959,21,queda,1,59,2,30,0.039378,-0.03334,-0.846665,1,0.5,0.389586,0.23136,0.361251,0.26719,-0.388527,-0.204386,-0.443568,-0.343667
22,ok,0.0430546,0.0705556,5.0529,0.0650152,0.13005,0.185184,0.305036,0.0162277,0.0179368,0.65264,0.0117524,-0.0850963,2.0969,24.5,queda,1,55,5,30,0.0884908,-0.02428,-0.274379,1,0.5,0.293444,0.128429,0.431268,0.357868,-0.375648,-0.11977,-0.254649,-0.174971
23,ok,0.0306404,0.0511027,4.74842,0.0562156,0.120883,0.209356,0.292455,0.0151061,-0.0148212,0.343625,-0.00508384,0.0345707,1.623,19,queda,1,59,2,30,0.106249,-0.08008,-0.753698,1,0.5,0.247549,0.254394,0.166434,0.222903,-0.319696,-0.334541,-0.244645,-0.293332
24,ok,0.0288156,0.0274736,4.27497,0.0465861,0.0971465,0.168545,0.35298,0.00659386,0.0161597,0.674899,0.0111194,-0.080696,2.1739,22.5,queda,1,59,2,30,0.116943,-0.0293,-0.25055,1,0.5,0.240065,0.140731,0.403296,0.177231,-0.234408,-0.199403,-0.221407,-0.00622102
25,ok,0.00852251,0.0378468,3.18054,0.0409174,0.0935495,0.195191,0.321427,0.0129961,-0.0163839,0.124944,0.00277599,-0.0193845,1.6408,21.5,queda,1,116,5,23,0.10274,-0.00384,-0.0373758,2,0.25,0.130557,0.312416,0.198813,0.240846,-0.275125,-0.353389,-0.134902,-0.204686
26,ok,0.0839736,0.0285985,7.5704,0.0646134,0.141459,0.269437,0.326941,0.0165703,0.0148563,0.0820963,-0.00165711,0.0329784,nan,nan,vazia,0,0,0,nan,nan,nan,nan,1,0.5,0.409814,0.331132,0.439833,0.19676,-0.239159,-0.443404,-0.20398,-0.351098
27,ok,0.0116646,0.0148701,3.07813,0.0326154,0.0734695,0.170695,0.404381,0.0145153,-0.0187561,0.597545,-0.0126637,0.0975378,1.4824,20,queda,1,54,1,27,0.0961632,-0.02262,-0.235225,1,0.5,0.152739,0.19126,0.202739,0.124917,-0.172453,-0.276843,-0.305036,-0.360875
28,ok,0.039733,0.0793968,4.86204,0.0670936,0.141422,0.218427,0.233746,0.00825661,-0.0330962,0.264302,0.0104925,-0.0994013,2.1368,21,queda,1,61,0,30,0.125866,-0.01046,-0.0831043,1,0.5,0.281897,0.143627,0.133965,0.280203,-0.398489,-0.449922,-0.149432,0.0043352
29,ok,0.0313397,0.00802746,4.73942,0.0379172,0.0863881,0.215474,0.40053,0.00828147,-0.00963678,0.492146,-0.00108099,-0.000357997,1.4654,19.5,queda,1,51,8,29.5,0.117577,-0.00484615,-0.0412169,1,0.5,0.250358,0.228579,0.348907,0.128317,-0.126708,-0.346389,-0.426147,-0.102554
30,ok,0.0208121,0.0228861,3.84671,0.0414024,0.0896145,0.213101,0.449038,0.0126832,0.0124625,0.801778,0.0118707,-0.103998,1.7833,24,queda,1,54,4,28.5,0.0896374,-0.32134,-3.58489,1,0.5,0.20402,0.171015,0.451044,0.33415,-0.213944,-0.250339,-0.450399,-0.0474787
31,ok,0.071643,0.0240111,6.87478,0.058773,0.12322,0.21914,0.375655,0.0168835,0.0206989,0.157726,0.00874844,-0.0790172,1.8203,21.5,queda,1,56,4,30,0.0735281,-0.0595943,-0.810496,1,0.5,0.378531,0.277846,0.334774,0.392644,-0.21914,-0.182242,-0.406281,-0.158576
32,ok,0.0275051,0.0482305,4.72875,0.054584,0.121786,0.238897,0.317765,0.0156081,-0.0195482,0.274756,0.00751444,-0.0748311,1.6309,22,queda,1,58,3,30,0.101165,-0.03626,-0.358423,1,0.5,0.234543,0.301485,0.194634,0.379201,-0.310582,-0.456422,-0.264086,-0.150579
33,ok,0.0486886,0.0315583,6.16066,0.0560041,0.121922,0.222065,0.30323,0.00993676,0.0186532,0.527475,0.0108861,-0.0807942,1.8147,22,queda,1,60,1,30,0.114305,-0.0197,-0.172346,1,0.5,0.312053,0.36267,0.304145,0.251882,-0.25123,-0.283554,-0.184646,-0.0665147
34,ok,0.0518708,0.0453023,6.2336,0.062084,0.136123,0.251115,0.30323,0.0145527,-0.0120589,0.456857,0.00109563,-0.0255288,1.5568,18.5,queda,1,59,2,30,0.11157,-0.00696,-0.0623822,1,0.5,0.32209,0.349587,0.163229,0.302766,-0.301006,-0.411509,-0.325646,-0.185308
35,ok,0.0416711,0.066652,5.52566,0.0640678,0.132397,0.213625,0.334331,0.0186434,-0.00495444,0.041906,-0.000694449,-0.00549487,1.5956,21,queda,1,57,4,30,0.064582,-0.26244,-4.06367,1,0.5,0.288691,0.289738,0.249489,0.340902,-0.365108,-0.137848,-0.417314,-0.282178
