perfil,x,y
otimizado,0.30865828,-0.10083330
otimizado,0.29962558,-0.10080373
otimizado,0.29067013,-0.10066059
otimizado,0.28179538,-0.10040414
otimizado,0.27300475,-0.10003499
otimizado,0.26430163,-0.09955413
otimizado,0.25568938,-0.09896286
otimizado,0.24717131,-0.09826288
otimizado,0.23875072,-0.09745618
otimizado,0.23043084,-0.09654509
otimizado,0.22221488,-0.09553227
otimizado,0.21410602,-0.09442065
otimizado,0.20610737,-0.09321346
otimizado,0.19822203,-0.09191419
otimizado,0.19045303,-0.09052659
otimizado,0.18280336,-0.08905461
otimizado,0.17527598,-0.08750242
otimizado,0.16787378,-0.08587439
otimizado,0.16059963,-0.08417500
otimizado,0.15345632,-0.08240892
otimizado,0.14644661,-0.08058088
otimizado,0.13957320,-0.07869572
otimizado,0.13283875,-0.07675834
otimizado,0.12624584,-0.07477366
otimizado,0.11979702,-0.07274660
otimizado,0.11349477,-0.07068207
otimizado,0.10734153,-0.06858493
otimizado,0.10133967,-0.06645997
otimizado,0.09549150,-0.06431187
otimizado,0.08979928,-0.06214519
otimizado,0.08426519,-0.05996437
otimizado,0.07889138,-0.05777365
otimizado,0.07367992,-0.05557711
otimizado,0.06863281,-0.05337861
otimizado,0.06375200,-0.05118178
otimizado,0.05903937,-0.04899002
otimizado,0.05449674,-0.04680646
otimizado,0.05012586,-0.04463398
otimizado,0.04592841,-0.04247517
otimizado,0.04190602,-0.04033232
otimizado,0.03806023,-0.03820745
otimizado,0.03439253,-0.03610225
otimizado,0.03090433,-0.03401811
otimizado,0.02759698,-0.03195614
otimizado,0.02447174,-0.02991713
otimizado,0.02152983,-0.02790154
otimizado,0.01877238,-0.02590958
otimizado,0.01620045,-0.02394115
otimizado,0.01381504,-0.02199586
otimizado,0.01161706,-0.02007307
otimizado,0.00960736,-0.01817187
otimizado,0.00778672,-0.01629112
otimizado,0.00615583,-0.01442946
otimizado,0.00471533,-0.01258530
otimizado,0.00346577,-0.01075688
otimizado,0.00240764,-0.00894228
otimizado,0.00154133,-0.00713941
otimizado,0.00086719,-0.00534608
otimizado,0.00038548,-0.00355999
otimizado,0.00009638,-0.00177877
otimizado,0.00000000,-0.00000000
otimizado,0.00009638,0.00211958
otimizado,0.00038548,0.00423511
otimizado,0.00086719,0.00634255
otimizado,0.00154133,0.00843793
otimizado,0.00240764,0.01051735
otimizado,0.00346577,0.01257700
otimizado,0.00471533,0.01461323
otimizado,0.00615583,0.01662251
otimizado,0.00778672,0.01860150
otimizado,0.00960736,0.02054705
otimizado,0.01161706,0.02245623
otimizado,0.01381504,0.02432632
otimizado,0.01620045,0.02615486
otimizado,0.01877238,0.02793967
otimizado,0.02152983,0.02967881
otimizado,0.02447174,0.03137063
otimizado,0.02759698,0.03301379
otimizado,0.03090433,0.03460723
otimizado,0.03439253,0.03615019
otimizado,0.03806023,0.03764220
otimizado,0.04190602,0.03908311
otimizado,0.04592841,0.04047305
otimizado,0.05012586,0.04181243
otimizado,0.05449674,0.04310196
otimizado,0.05903937,0.04434260
otimizado,0.06375200,0.04553558
otimizado,0.06863281,0.04668237
otimizado,0.07367992,0.04778465
otimizado,0.07889138,0.04884434
otimizado,0.08426519,0.04986350
otimizado,0.08979928,0.05084441
otimizado,0.09549150,0.05178944
otimizado,0.10133967,0.05270113
otimizado,0.10734153,0.05358209
otimizado,0.11349477,0.05443499
otimizado,0.11979702,0.05526257
otimizado,0.12624584,0.05606758
otimizado,0.13283875,0.05685275
otimizado,0.13957320,0.05762079
otimizado,0.14644661,0.05837435
otimizado,0.15345632,0.05911600
otimizado,0.16059963,0.05984818
otimizado,0.16787378,0.06057322
otimizado,0.17527598,0.06129328
otimizado,0.18280336,0.06201036
otimizado,0.19045303,0.06272624
otimizado,0.19822203,0.06344251
otimizado,0.20610737,0.06416050
otimizado,0.21410602,0.06488132
otimizado,0.22221488,0.06560580
otimizado,0.23043084,0.06633452
otimizado,0.23875072,0.06706777
otimizado,0.24717131,0.06780556
otimizado,0.25568938,0.06854759
otimizado,0.26430163,0.06929330
otimizado,0.27300475,0.07004183
otimizado,0.28179538,0.07079203
otimizado,0.29067013,0.07154246
otimizado,0.29962558,0.07229142
otimizado,0.30865828,0.07303694
otimizado,0.31776475,0.07377681
otimizado,0.32694147,0.07450856
otimizado,0.33618491,0.07522952
otimizado,0.34549150,0.07593681
otimizado,0.35485766,0.07662736
otimizado,0.36427978,0.07729794
otimizado,0.37375421,0.07794520
otimizado,0.38327732,0.07856564
otimizado,0.39284542,0.07915570
otimizado,0.40245484,0.07971174
otimizado,0.41210186,0.08023009
otimizado,0.42178277,0.08070706
otimizado,0.43149383,0.08113900
otimizado,0.44123130,0.08152228
otimizado,0.45099143,0.08185336
otimizado,0.46077045,0.08212878
otimizado,0.47056460,0.08234524
otimizado,0.48037009,0.08249955
otimizado,0.49018315,0.08258873
otimizado,0.50000000,0.08261000
otimizado,0.50981685,0.08256078
otimizado,0.51962991,0.08243875
otimizado,0.52943540,0.08224186
otimizado,0.53922955,0.08196834
otimizado,0.54900857,0.08161672
otimizado,0.55876870,0.08118583
otimizado,0.56850617,0.08067483
otimizado,0.57821723,0.08008323
otimizado,0.58789814,0.07941085
otimizado,0.59754516,0.07865790
otimizado,0.60715458,0.07782490
otimizado,0.61672268,0.07691273
otimizado,0.62624579,0.07592263
otimizado,0.63572022,0.07485618
otimizado,0.64514234,0.07371528
otimizado,0.65450850,0.07250218
otimizado,0.66381509,0.07121943
otimizado,0.67305853,0.06986989
otimizado,0.68223525,0.06845672
otimizado,0.69134172,0.06698333
otimizado,0.70037442,0.06545339
otimizado,0.70932987,0.06387082
otimizado,0.71820462,0.06223973
otimizado,0.72699525,0.06056441
otimizado,0.73569837,0.05884934
otimizado,0.74431062,0.05709912
otimizado,0.75282869,0.05531847
otimizado,0.76124928,0.05351218
otimizado,0.76956916,0.05168511
otimizado,0.77778512,0.04984216
otimizado,0.78589398,0.04798822
otimizado,0.79389263,0.04612816
otimizado,0.80177797,0.04426680
otimizado,0.80954697,0.04240890
otimizado,0.81719664,0.04055911
otimizado,0.82472402,0.03872196
otimizado,0.83212622,0.03690183
otimizado,0.83940037,0.03510293
otimizado,0.84654368,0.03332930
otimizado,0.85355339,0.03158476
otimizado,0.86042680,0.02987292
otimizado,0.86716125,0.02819713
otimizado,0.87375416,0.02656053
otimizado,0.88020298,0.02496596
otimizado,0.88650523,0.02341601
otimizado,0.89265847,0.02191301
otimizado,0.89866033,0.02045898
otimizado,0.90450850,0.01905568
otimizado,0.91020072,0.01770458
otimizado,0.91573481,0.01640688
otimizado,0.92110862,0.01516347
otimizado,0.92632008,0.01397502
otimizado,0.93136719,0.01284189
otimizado,0.93624800,0.01176424
otimizado,0.94096063,0.01074193
otimizado,0.94550326,0.00977465
otimizado,0.94987414,0.00886183
otimizado,0.95407159,0.00800275
otimizado,0.95809398,0.00719646
otimizado,0.96193977,0.00644190
otimizado,0.96560747,0.00573785
